* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
53	my	wife	tells	me	a	n	v	p
53	my	wife	was	in	a	n	v	i
53	my	work	and	my	a	n	c	a
53	my	worst	nightmare	.	a	j	n	.
53	myself	,	so	i	p	,	c	p
53	myself	.	i	will	p	y	p	v
53	myself	.	you	do	p	.	p	v
53	myself	as	much	as	p	r	d	c
52	m	)	all	i	z	)	d	p
52	m	)	like	a	z	)	i	a
52	m.d.	,	ph.d	,	n	,	n	,
52	ma'am	.	this	is	n	.	d	v
52	machine	.	<p>	i	n	y	y	p
52	made	a	decision	not	v	a	n	x
52	made	a	similar	point	v	a	j	n
52	made	a	very	big	v	a	r	j
52	made	all	of	us	v	d	i	p
52	made	by	the	government	v	i	a	n
52	made	by	the	state	v	i	a	n
52	made	him	such	a	v	p	d	a
52	made	his	name	as	v	a	n	i
52	made	it	.	the	v	p	y	a
52	made	it	part	of	v	p	n	i
52	made	love	to	me	v	n	i	p
52	made	mistakes	in	my	v	n	i	a
52	made	my	day	!	v	a	n	y
52	made	of	.	"	v	i	y	y
52	made	the	assumption	that	v	a	n	c
52	made	the	following	statement	v	a	j	n
52	made	two	free	throws	v	m	j	n
52	made	up	of	some	v	r	i	d
52	made	up	to	look	v	r	t	v
52	major	public	health	problem	j	j	n	n
52	make	a	bad	situation	v	a	j	n
52	make	a	day	of	v	a	n	i
52	make	a	determination	as	v	a	n	i
52	make	a	right	turn	v	a	j	n
52	make	an	ass	of	v	a	n	i
52	make	an	honest	living	v	a	j	n
52	make	an	important	contribution	v	a	j	n
52	make	for	a	better	v	i	a	j
52	make	her	want	to	v	p	v	t
52	make	it	big	in	v	p	j	i
52	make	it	happen	for	v	p	v	i
52	make	it	safe	for	v	p	j	i
52	make	it	seem	that	v	p	v	c
52	make	life	difficult	for	v	n	j	i
52	make	me	nervous	.	v	p	j	y
52	make	money	.	but	v	n	y	c
52	make	more	than	a	v	d	c	a
52	make	myself	feel	better	v	p	v	r
52	make	no	sense	,	v	a	n	y
52	make	sense	.	you	v	n	.	p
52	make	something	up	.	v	p	r	.
52	make	sure	she	is	v	j	p	v
52	make	sure	you	come	v	j	p	v
52	make	sure	you	look	v	j	p	v
52	make	that	phone	call	v	d	n	n
52	make	that	statement	.	v	d	n	y
52	make	the	biggest	difference	v	a	j	n
52	make	the	kinds	of	v	a	n	i
52	make	the	same	decision	v	a	d	n
52	make	the	wrong	choice	v	a	j	n
52	make	the	wrong	decision	v	a	j	n
52	make	things	easier	.	v	n	r	y
52	make	this	any	harder	v	d	d	j
52	make	up	a	significant	v	r	a	j
52	make	up	much	of	v	r	r	i
52	make	use	of	these	v	n	i	d
52	make	you	a	sandwich	v	p	a	n
52	make	your	point	.	v	a	n	y
52	makes	for	a	better	v	i	a	j
52	makes	it	a	great	v	p	a	j
52	makes	it	likely	that	v	p	j	c
52	makes	me	proud	to	v	p	j	t
52	makes	me	sad	,	v	p	j	y
52	makes	me	wonder	whether	v	p	n	c
52	makes	you	realize	how	v	p	v	r
52	makes	you	think	,	v	p	v	,
52	makes	you	wan	na	v	p	v	t
52	making	her	way	to	v	a	n	i
52	making	it	seem	as	v	p	v	c
52	making	me	feel	like	v	p	n	c
52	making	news	today	.	v	n	r	y
52	making	plans	for	the	v	n	i	a
52	making	something	out	of	v	p	i	i
52	making	sure	all	the	v	j	d	a
52	making	sure	that	everyone	v	j	c	p
52	making	sure	you	get	v	j	p	v
52	making	the	assumption	that	v	a	n	c
52	making	this	stuff	up	v	d	n	r
52	male	or	female	)	n	c	n	y
52	mama	's	boy	.	n	g	n	y
52	man	,	a	man	n	,	a	n
52	man	,	and	it	n	,	c	p
52	man	,	and	they	n	y	c	p
52	man	,	but	his	n	y	c	a
52	man	,	this	guy	n	,	d	n
52	man	.	-	(	n	.	-	(
52	man	.	-	the	n	.	-	a
52	man	.	-	yes	n	.	-	u
52	man	.	when	i	n	.	c	p
52	man	:	thank	you	n	:	v	p
52	man	:	yes	,	n	:	u	,
52	man	2	:	he	n	m	y	p
52	man	and	he	's	n	c	p	v
52	man	and	woman	were	n	c	n	v
52	man	are	you	?	n	v	p	?
52	man	behind	the	wheel	n	i	a	n
52	man	i	know	.	n	p	v	.
52	man	in	the	picture	n	i	a	n
52	man	is	gon	na	n	v	v	t
52	man	of	action	,	n	i	n	y
52	man	of	many	talents	n	i	d	n
52	man	to	man	,	n	i	n	y
52	man	was	arrested	for	n	v	v	i
52	man	with	a	lot	n	i	a	n
52	man	with	a	white	n	i	a	j
52	man	with	the	plan	n	i	a	n
52	managed	to	keep	a	v	t	v	a
52	mansion	on	the	hill	n	i	a	n
52	many	are	willing	to	d	v	j	t
52	many	aspects	of	their	d	n	i	a
52	many	changes	in	the	d	n	i	a
52	many	more	people	than	d	d	n	c
52	many	of	'	em	d	i	"	f
52	many	of	my	patients	d	i	a	n
52	many	of	our	children	d	i	a	n
52	many	of	the	articles	d	i	a	n
52	many	of	the	techniques	d	i	a	n
52	many	of	us	grew	d	i	p	v
52	many	of	us	thought	d	i	p	v
52	many	others	,	including	d	n	y	i
52	many	people	trying	to	d	n	v	t
52	many	people	were	killed	d	n	v	v
52	many	things	.	it	d	n	y	p
52	many	things	in	my	d	n	i	a
52	many	thousands	of	people	d	m	i	n
52	many	ways	.	but	d	n	y	c
52	many	ways	to	do	d	n	t	v
52	map	shows	location	of	n	v	n	i
52	march	1	,	2009	n	m	y	m
52	march	16	,	2019	n	m	,	m
52	march	27	,	2012	n	m	y	m
52	market	is	expected	to	n	v	v	t
52	markets	.	<p>	in	n	y	y	i
52	markets	are	going	to	n	v	v	t
52	markov	chain	monte	carlo	n	n	n	n
52	marriage	.	i	'm	n	y	p	v
52	married	?	-	no	j	?	-	u
52	married	a	long	time	v	a	j	n
52	married	and	had	a	j	c	v	a
52	married	and	have	a	v	c	v	a
52	married	and	have	a	j	c	v	a
52	married	for	10	years	j	i	m	n
52	married	to	each	other	j	i	p	p
52	mars	,	jupiter	,	n	y	n	y
52	mars	and	jupiter	.	n	c	n	y
52	martin	.	john	martin	n	y	n	n
52	maryland	and	the	district	n	c	a	n
52	mass	destruction	,	the	j	n	y	a
52	massachusetts	,	new	york	n	y	n	n
52	master	of	ceremonies	.	n	i	n	y
52	matrix	.	<p>	article	n	y	y	n
52	matt	.	i	'm	n	.	p	v
52	matter	,	it	's	n	y	p	v
52	matter	how	much	he	n	r	r	p
52	matter	is	that	it	n	v	c	p
52	matter	of	minutes	,	n	i	n	,
52	matter	what	happened	,	d	d	v	y
52	matters	is	that	we	v	v	c	p
52	mature	enough	to	handle	j	r	t	v
52	may	,	or	may	v	y	c	v
52	may	27	,	2009	n	m	y	m
52	may	be	)	,	v	v	y	y
52	may	be	eligible	to	v	v	j	t
52	may	be	limited	.	v	v	v	y
52	may	be	our	last	v	v	a	m
52	may	benefit	from	the	v	v	i	a
52	may	happen	in	the	v	v	i	a
52	may	have	a	little	v	v	a	j
52	may	have	been	given	v	v	v	v
52	may	have	been	inspired	v	v	v	v
52	may	have	made	some	v	v	v	d
52	may	have	seen	a	v	v	v	a
52	may	not	end	up	v	x	v	r
52	may	participate	in	the	v	v	i	a
52	may	seem	,	the	v	v	y	a
52	may	well	have	to	v	r	v	t
52	maybe	,	uh	..	r	,	u	.
52	maybe	..	i	do	r	.	p	v
52	maybe	i	should	.	r	p	v	.
52	maybe	i	should	ask	r	p	v	v
52	maybe	it	's	'	r	p	v	g
52	maybe	more	than	one	r	d	c	m
52	maybe	one	of	your	r	m	i	a
52	maybe	they	're	all	r	p	v	d
52	maybe	they	're	going	r	p	v	v
52	maybe	we	can	start	r	p	v	v
52	maybe	we	should	.	r	p	v	.
52	mayor	said	.	<p>	n	v	y	y
52	md	:	johns	hopkins	n	y	n	n
52	me	!	'	"	p	y	"	y
52	me	!	-	he	p	!	-	p
52	me	!	<p>	#	p	y	y	f
52	me	!	no	.	p	!	u	.
52	me	#	#	i	p	f	f	z
52	me	,	"	if	p	,	"	c
52	me	,	'	i	p	,	"	p
52	me	,	and	i	p	,	c	z
52	me	,	because	it	p	,	c	p
52	me	,	but	also	p	y	c	r
52	me	,	i	said	p	,	p	v
52	me	,	is	it	p	y	v	p
52	me	,	joe	.	p	,	n	.
52	me	,	or	the	p	y	c	a
52	me	,	we	are	p	y	p	v
52	me	,	we	got	p	,	p	v
52	me	--	i	do	p	z	p	v
52	me	.	"	after	p	y	y	c
52	me	.	<p>	by	p	y	y	i
52	me	.	<p>	thanks	p	y	y	n
52	me	.	aah	!	p	.	u	!
52	me	.	does	n't	p	.	v	x
52	me	.	fuck	.	p	.	v	.
52	me	.	he	wanted	p	.	p	v
52	me	.	i	also	p	.	p	r
52	me	.	it	wo	p	.	p	v
52	me	.	just	tell	p	.	r	v
52	me	.	the	guy	p	.	a	n
52	me	.	we	'd	p	.	p	v
52	me	.	we	do	p	y	p	v
52	me	.	where	?	p	.	r	?
52	me	..	do	n't	p	.	v	x
52	me	..	that	i	p	.	c	p
52	me	?	-	is	p	?	-	v
52	me	?	-	let	p	?	-	v
52	me	?	have	you	p	?	v	p
52	me	?	we	've	p	?	p	v
52	me	?	you	could	p	?	p	v
52	me	a	job	?	p	a	n	?
52	me	a	lot	and	p	a	n	c
52	me	a	question	,	p	a	n	y
52	me	about	him	?	p	i	p	?
52	me	about	them	.	p	i	p	.
52	me	across	the	face	p	i	a	n
52	me	and	my	siblings	p	c	a	n
52	me	any	more	than	p	d	d	c
52	me	as	a	"	p	i	a	y
52	me	as	i	have	p	c	p	v
52	me	ask	you	just	p	v	p	r
52	me	back	from	the	p	r	i	a
52	me	beside	the	still	p	i	a	j
52	me	down	.	it	p	r	y	p
52	me	down	the	aisle	p	r	a	n
52	me	how	i	feel	p	r	p	v
52	me	i	can	not	p	p	v	x
52	me	in	the	mirror	p	i	a	n
52	me	in	the	presence	p	i	a	n
52	me	into	the	house	p	i	a	n
52	me	just	say	i	p	r	v	p
52	me	know	you	're	p	v	p	v
52	me	later	.	-	p	r	.	-
52	me	on	top	of	p	i	i	i
52	me	or	anybody	else	p	c	p	r
52	me	out	,	but	p	r	,	c
52	me	out	a	little	p	r	a	j
52	me	started	on	that	p	v	i	d
52	me	that	.	and	p	d	.	c
52	me	that	is	the	p	d	v	a
52	me	that	my	father	p	c	a	n
52	me	that	night	.	p	d	n	.
52	me	that	some	people	p	c	d	n
52	me	that	the	most	p	c	a	r
52	me	the	key	to	p	a	n	i
52	me	the	keys	!	p	a	n	!
52	me	the	value	of	p	a	n	i
52	me	to	get	her	p	t	v	p
52	me	to	give	the	p	t	v	a
52	me	to	the	edge	p	i	a	n
52	me	too	.	but	p	r	y	c
52	me	too	.	let	p	r	.	v
52	me	up	out	of	p	r	i	i
52	me	very	,	very	p	r	y	r
52	me	what	you	are	p	d	p	v
52	me	when	i	hear	p	r	p	v
52	me	with	something	.	p	i	p	.
52	mean	,	basically	,	v	y	r	y
52	mean	,	she	is	v	y	p	v
52	mean	,	they	just	v	y	p	r
52	mean	,	this	is	j	,	d	v
52	mean	,	you	..	v	,	p	.
52	mean	.	-	you	v	.	-	p
52	mean	..	yeah	,	v	.	u	,
52	mean	the	most	to	v	a	r	i
52	means	.	well	,	v	.	r	,
52	means	anything	to	you	v	p	i	p
52	means	it	's	going	v	p	v	v
52	means	that	you	should	v	c	p	v
52	means	to	live	in	v	t	v	i
52	meant	for	you	to	v	i	p	t
52	meant	the	same	thing	v	a	d	n
52	meant	to	him	.	v	i	p	y
52	measure	the	effects	of	v	a	n	i
52	media	and	the	internet	n	c	a	n
52	media	coverage	.	<p>	n	n	y	y
52	medical	services	.	<p>	j	n	y	y
52	medicare	,	and	medicaid	n	y	c	n
52	medicine	without	a	license	n	i	a	n
52	medill	school	of	journalism	n	n	i	n
52	medium	heat	,	and	j	n	y	c
52	meet	.	<p>	"	v	y	y	y
52	meet	the	new	boss	v	a	j	n
52	meet	up	with	him	v	r	i	p
52	meeting	.	"	i	n	y	y	p
52	meeting	new	people	.	v	j	n	y
52	member	:	yes	,	n	y	u	y
52	member	of	parliament	.	n	i	n	y
52	member	of	parliament	from	n	i	n	i
52	member	of	the	company	n	i	a	n
52	member	of	the	government	n	i	a	n
52	member	of	the	ruling	n	i	a	j
52	member	of	the	virginia	n	i	a	n
52	member	states	.	<p>	n	n	y	y
52	members	in	the	house	n	i	a	n
52	members	of	a	local	n	i	a	j
52	members	of	both	the	n	i	d	a
52	members	of	congress	say	n	i	n	v
52	members	of	the	kennedy	n	i	a	n
52	men	's	basketball	program	n	g	n	n
52	men	.	"	it	n	y	y	p
52	men	.	i	have	n	y	p	v
52	men	.	there	are	n	y	e	v
52	men	and	women	did	n	c	n	v
52	men	at	the	table	n	i	a	n
52	men	in	dark	suits	n	i	j	n
52	men	over	the	age	n	i	a	n
52	mentioned	it	to	me	v	p	i	p
52	mentioned	the	possibility	of	v	a	n	i
52	mere	fact	that	the	j	n	c	a
52	mess	.	"	"	n	y	y	y
52	message	at	the	beep	n	i	a	n
52	messages	.	(	commercial	n	y	y	j
52	met	a	number	of	v	a	n	i
52	met	one	of	the	v	m	i	a
52	met	you	,	you	v	p	,	p
52	mexico	,	where	he	n	y	c	p
52	mg	chol	.	<p&gt	n	n	y	f
52	middle	east	,	as	j	n	y	c
52	middle	eastern	countries	,	j	j	n	y
52	middle	of	it	and	n	i	p	c
52	middle	of	the	back	n	i	a	n
52	middle	of	the	screen	n	i	a	n
52	might	be	.	-	v	v	.	-
52	might	be	different	from	v	v	j	i
52	might	be	hungry	.	v	v	j	.
52	might	have	been	prevented	v	v	v	v
52	might	have	done	,	v	v	v	y
52	might	have	done	better	v	v	v	r
52	might	have	played	a	v	v	v	a
52	might	have	resulted	in	v	v	v	i
52	might	not	work	for	v	x	v	i
52	might	say	,	'	v	v	y	g
52	might	say	that	i	v	v	c	p
52	might	sound	a	little	v	v	r	r
52	might	think	that	you	v	v	c	p
52	might	wan	na	get	v	v	t	v
52	mike	!	mike	!	n	!	n	!
52	miles	from	the	coast	n	i	a	n
52	miles	of	each	other	n	i	p	p
52	military	's	role	in	n	g	n	i
52	military	personnel	and	their	j	n	c	a
52	milk	,	cheese	,	n	y	n	y
52	million	)	,	and	m	y	y	c
52	million	in	the	past	m	i	a	j
52	million	monthly	active	users	n	j	j	n
52	million	years	.	"	m	n	y	y
52	million	years	old	.	n	n	j	y
52	millions	of	dollars	'	m	i	n	g
52	mind	.	there	was	n	y	e	v
52	mind	?	i	do	n	?	p	v
52	mind	?	oh	,	n	?	u	,
52	mind	at	ease	.	n	i	n	y
52	mind	is	that	the	n	v	c	a
52	mind	that	i	'm	n	c	p	v
52	mind	that	there	is	n	c	e	v
52	minneapolis	,	minn	.	n	y	n	y
52	minneapolis	institute	of	arts	n	n	i	n
52	minneapolis-st	.	paul	,	n	y	n	y
52	minority	leader	john	boehner	n	n	n	n
52	minute	,	you	're	n	y	p	v
52	minute	or	two	,	n	c	m	,
52	minutes	,	"	i	n	y	y	p
52	minutes	.	<p&gt	2	n	y	f	m
52	minutes	.	and	then	n	y	c	r
52	minutes	.	are	you	n	.	v	p
52	minutes	.	drain	well	n	y	v	r
52	minutes	.	remove	and	n	y	v	c
52	minutes	to	go	,	n	t	v	y
52	minutes	to	reach	the	n	t	v	a
52	miss	a	day	of	v	a	n	i
52	missed	any	of	the	v	d	i	a
52	missed	the	point	,	v	a	n	y
52	mistake	of	his	life	n	i	a	n
52	mistakes	,	"	he	n	y	y	p
52	mistakes	were	made	.	n	v	v	y
52	mister	rogers	'	neighborhood	n	n	g	n
52	mitigate	some	of	the	v	d	i	a
52	mitt	romney	will	be	n	n	v	v
52	mitt	romney	would	have	n	n	v	v
52	mixture	of	fear	and	n	i	n	c
52	mm	,	no	.	u	,	u	.
52	mm	,	yeah	.	u	,	u	.
52	mm	/	flex	:	n	f	n	:
52	mm-hmm	.	@!simon	:	u	y	z	y
52	mmm	.	thank	you	u	.	v	p
52	mom	,	dad	and	n	y	n	c
52	mom	,	i	know	n	y	p	v
52	mom	.	we	're	n	.	p	v
52	mom	and	dad	in	n	c	n	i
52	mom	does	n't	want	n	v	x	v
52	moment	.	we	're	n	.	p	v
52	moment	in	time	that	n	i	n	c
52	moment	of	silence	.	n	i	n	.
52	moment	or	two	.	n	c	m	y
52	moment	to	moment	.	n	i	n	y
52	mommy	.	it	's	n	.	p	v
52	mommy	.	oh	,	n	.	u	,
52	monday	.	"	i	n	y	y	p
52	money	(	m	)	n	(	z	)
52	money	,	i	'd	n	y	p	v
52	money	,	too	,	n	y	r	y
52	money	.	-	how	n	.	-	r
52	money	.	if	they	n	y	c	p
52	money	.	we	'll	n	.	p	v
52	money	.	yes	,	n	.	u	,
52	money	from	the	bank	n	i	a	n
52	money	right	now	.	n	r	r	.
52	money	to	bail	out	n	t	v	r
52	money	would	come	from	n	v	v	i
52	months	,	he	had	n	y	p	v
52	months	.	but	i	n	y	c	p
52	months	later	,	his	n	r	y	a
52	months	later	he	was	n	r	p	v
52	months	or	years	of	n	c	n	i
52	moon	's	surface	.	n	g	n	y
52	moon	.	<p>	"	n	y	y	y
52	moon	in	the	sky	n	i	a	n
52	more	,	one	more	d	,	p	d
52	more	.	"	we	r	y	y	p
52	more	.	i	do	d	y	p	v
52	more	:	http	:	r	y	n	y
52	more	a	reflection	of	r	a	n	i
52	more	about	him	than	r	i	p	c
52	more	aggressive	than	the	r	j	c	a
52	more	and	more	students	r	c	d	n
52	more	at	risk	of	r	i	n	i
52	more	beautiful	than	ever	r	j	c	r
52	more	beautiful	than	i	r	j	c	p
52	more	central	to	the	r	j	i	a
52	more	closely	tied	to	r	r	v	i
52	more	common	than	the	r	j	c	a
52	more	details	of	the	d	n	i	a
52	more	difficult	to	detect	r	j	t	v
52	more	favorable	to	the	r	j	i	a
52	more	i	read	about	r	p	v	i
52	more	i	realize	that	r	p	v	c
52	more	information	.	)	d	n	y	y
52	more	like	a	business	r	i	a	n
52	more	likely	to	share	r	j	t	v
52	more	of	an	"	d	i	a	y
52	more	of	an	emphasis	d	i	a	n
52	more	questions	.	-	d	n	.	-
52	more	satisfied	with	the	r	j	i	a
52	more	specific	than	that	r	j	c	d
52	more	than	$100	billion	d	c	m	m
52	more	than	14	years	d	c	m	n
52	more	than	30	hours	d	c	m	n
52	more	than	50	times	d	c	m	n
52	more	than	8	million	d	c	m	m
52	more	than	80	people	d	c	m	n
52	more	than	a	boy	d	c	a	n
52	more	than	a	coincidence	d	c	a	n
52	more	than	a	name	d	c	a	n
52	more	than	anyone	,	r	c	p	y
52	more	than	i	'd	r	c	p	v
52	more	than	the	last	d	c	a	m
52	more	thing	"	.	d	n	"	.
52	more	this	is	a	r	d	v	a
52	more	time	to	study	d	n	t	v
52	more	to	it	,	r	i	p	y
52	more	to	them	than	r	i	p	c
52	more	true	than	in	r	j	c	i
52	more	valuable	.	<p>	r	j	y	y
52	morning	,	ann	.	n	y	n	y
52	morning	.	i	am	n	y	p	v
52	morning	and	evening	.	n	c	n	y
52	mortar	and	pestle	,	n	c	n	y
52	most	cases	,	this	d	n	y	d
52	most	common	in	the	r	j	i	a
52	most	frequently	asked	questions	r	r	v	n
52	most	importantly	,	i	r	r	,	p
52	most	of	his	family	d	i	a	n
52	most	of	our	students	d	i	a	n
52	most	of	the	'	d	i	a	"
52	most	of	us	get	d	i	p	v
52	most	part	,	is	r	r	y	v
52	most	part	,	it	r	r	,	p
52	most	people	around	here	d	n	r	r
52	most	people	think	,	d	n	v	y
52	most	recent	books	are	r	j	n	v
52	most	recently	,	she	r	r	y	p
52	mother	,	however	,	n	y	r	y
52	mother	.	"	and	n	y	y	c
52	mother	had	said	,	n	v	v	y
52	mouth	and	nose	.	n	c	n	y
52	move	ahead	with	the	v	r	i	a
52	move	in	the	right	n	i	a	j
52	move	on	.	so	v	r	.	r
52	move	to	the	united	v	i	a	n
52	moved	in	,	the	v	r	y	a
52	moved	on	from	the	v	r	i	a
52	movement	.	this	is	n	y	d	v
52	moves	up	and	down	v	r	c	r
52	movie	.	i	was	n	y	p	v
52	movie	ever	made	.	n	r	v	y
52	mr	.	bundy	,	#	#	n	,
52	mr	.	jones	,	#	#	n	,
52	mr	.	stone	?	#	#	n	?
52	much	,	so	i	d	y	c	p
52	much	.	.	.	d	y	y	y
52	much	.	<p>	and	d	y	y	c
52	much	.	<p>	it	d	y	y	p
52	much	.	all	right	d	y	r	r
52	much	.	but	the	d	y	c	a
52	much	.	i	got	d	.	p	v
52	much	.	in	the	d	y	i	a
52	much	as	the	rest	d	c	a	n
52	much	better	,	but	r	r	y	c
52	much	control	over	the	d	n	i	a
52	much	easier	to	use	r	j	t	v
52	much	effect	on	the	d	n	i	a
52	much	for	speaking	with	r	i	v	i
52	much	going	on	.	d	v	r	.
52	much	i	love	him	d	p	v	p
52	much	in	keeping	with	d	i	i	i
52	much	in	love	.	d	i	n	y
52	much	more	common	in	r	r	j	i
52	much	more	focused	on	r	r	v	i
52	much	of	a	coincidence	d	i	a	n
52	much	of	the	twentieth	d	i	a	m
52	much	of	this	research	d	i	d	n
52	much	of	what	happens	d	i	d	v
52	much	on	the	line	d	i	a	n
52	much	progress	has	been	d	n	v	v
52	much	the	same	for	r	a	d	i
52	much	time	we	have	d	n	p	v
52	much	to	take	in	d	t	v	r
52	multiple	regression	analysis	was	j	n	n	v
52	murder	in	the	shooting	n	i	a	n
52	museum	of	women	in	n	i	n	i
52	music	and	dancing	.	n	c	n	y
52	music	as	well	.	n	r	r	y
52	music	for	a	while	n	i	a	n
52	music	in	the	air	n	i	a	n
52	muslim	holy	month	of	j	j	n	i
52	must	abide	by	the	v	v	i	a
52	must	adhere	to	the	v	v	i	a
52	must	be	emphasized	that	v	v	v	c
52	must	be	hard	.	v	v	j	.
52	must	be	put	to	v	v	v	i
52	must	be	submitted	by	v	v	v	i
52	must	be	weighed	against	v	v	v	i
52	must	go	.	i	v	v	.	p
52	must	have	been	doing	v	v	v	v
52	must	have	felt	when	v	v	v	c
52	must	have	had	something	v	v	v	p
52	must	have	happened	to	v	v	v	i
52	must	have	seemed	to	v	v	v	i
52	must	say	that	it	v	v	c	p
52	muster	the	courage	to	v	a	n	t
52	my	arms	.	"	a	n	.	"
52	my	ass	off	.	a	n	r	y
52	my	back	.	and	a	n	.	c
52	my	bad	.	-	a	j	.	-
52	my	being	able	to	a	v	j	t
52	my	body	.	and	a	n	y	c
52	my	business	,	and	a	n	y	c
52	my	chair	.	i	a	n	y	p
52	my	chances	of	getting	a	n	i	v
52	my	conscience	is	clear	a	n	v	j
52	my	dad	would	say	a	n	v	v
52	my	daughter	's	birthday	a	n	g	n
52	my	desk	.	<p>	a	n	y	y
52	my	dog	.	"	a	n	y	y
52	my	dog	.	i	a	n	.	p
52	my	dreams	.	"	a	n	y	y
52	my	eye	i	saw	a	n	p	v
52	my	eyes	.	the	a	n	.	a
52	my	fair	lady	"	a	j	n	y
52	my	family	will	be	a	n	v	v
52	my	father	.	that	a	n	.	d
52	my	father	and	grandfather	a	n	c	n
52	my	father	looked	at	a	n	v	i
52	my	father	said	he	a	n	v	p
52	my	father	when	he	a	n	c	p
52	my	favorite	,	but	a	n	y	c
52	my	first	reaction	is	a	m	n	v
52	my	freshman	year	at	a	n	n	i
52	my	friend	.	but	a	n	.	c
52	my	god	.	@!kathie-lee-gifford#	a	n	.	f
52	my	gosh	!	oh	a	u	!	u
52	my	grandmother	.	"	a	n	y	y
52	my	hand	,	but	a	n	y	c
52	my	hands	.	it	a	n	y	p
52	my	head	,	which	a	n	y	d
52	my	head	with	a	a	n	i	a
52	my	heart	,	but	a	n	,	c
52	my	heart	.	but	a	n	y	c
52	my	heart	is	racing	a	n	v	v
52	my	heart	was	in	a	n	v	i
52	my	high	school	days	a	j	n	n
52	my	home	away	from	a	n	i	i
52	my	home	town	,	a	n	n	y
52	my	job	.	well	a	n	.	r
52	my	keys	.	-	a	n	.	-
52	my	knees	.	"	a	n	y	y
52	my	last	confession	.	a	m	n	.
52	my	life	,	a	a	n	y	a
52	my	life	with	him	a	n	i	p
52	my	lifetime	,	i	a	n	y	p
52	my	love	,	i	a	n	,	p
52	my	love	for	her	a	n	i	p
52	my	love	for	him	a	n	i	p
52	my	memory	of	the	a	n	i	a
52	my	mind	is	made	a	n	v	v
52	my	mom	.	oh	a	n	.	u
52	my	mom	is	the	a	n	v	a
52	my	mom	said	,	a	n	v	,
52	my	mom	would	say	a	n	v	v
52	my	money	,	and	a	n	y	c
52	my	mother	.	he	a	n	y	p
52	my	mother	sent	me	a	n	v	p
52	my	mouth	.	the	a	n	y	a
52	my	name	and	address	a	n	c	n
52	my	opinion	.	if	a	n	y	c
52	my	own	,	but	a	d	,	c
52	my	own	blog	,	a	d	n	y
52	my	own	experience	as	a	d	n	i
52	my	own	mother	.	a	d	n	.
52	my	own	way	,	a	d	n	,
52	my	parents	.	you	a	n	.	p
52	my	parents	and	their	a	n	c	a
52	my	parents	divorced	when	a	n	v	c
52	my	phone	number	.	a	n	n	y
52	my	problem	with	this	a	n	i	d
52	my	question	is	--	a	n	v	z
52	my	shoes	.	i	a	n	y	p
52	my	skin	,	and	a	n	y	c
52	my	skin	crawl	.	a	n	n	y
52	my	son	's	birthday	a	n	g	n
52	my	soul	.	"	a	n	.	"
52	my	style	.	i	a	n	.	p
52	my	thoughts	exactly	.	a	n	r	.
52	my	time	is	spent	a	n	v	v
52	my	voice	to	the	a	n	i	a
52	my	wallet	.	-	a	#	#	-
52	my	wife	's	a	a	n	v	a
52	my	wife	.	my	a	n	.	a
52	myself	)	.	<p>	p	y	y	y
52	myself	,	as	i	p	y	c	p
52	myself	.	qwq	@	p	y	x	i
52	myself	that	i	am	p	c	p	v
51	m5	,	m11	<p>	f	y	f	y
51	ma'am	,	do	you	n	,	v	p
51	machine	,	"	he	n	y	y	p
51	machine	.	it	was	n	y	p	v
51	macon	,	georgia	,	n	y	n	y
51	made	,	but	the	v	y	c	a
51	made	a	distinction	between	v	a	n	i
51	made	a	great	play	v	a	j	n
51	made	as	part	of	v	i	n	i
51	made	in	america	"	v	i	n	y
51	made	in	this	country	v	i	d	n
51	made	it	.	and	v	p	y	c
51	made	it	illegal	for	v	p	j	i
51	made	it	necessary	for	v	p	j	i
51	made	it	so	easy	v	p	r	j
51	made	it	to	my	v	p	i	a
51	made	it	very	easy	v	p	r	j
51	made	love	in	the	v	n	i	a
51	made	me	happy	.	v	p	j	y
51	made	me	realize	what	v	p	v	d
51	made	me	take	a	v	p	v	a
51	made	me	wonder	about	v	p	n	i
51	made	my	day	.	v	a	n	.
51	made	out	of	wood	v	i	i	n
51	made	some	bad	choices	v	d	j	n
51	made	sure	they	were	v	j	p	v
51	made	up	of	individuals	v	r	i	n
51	made	up	of	several	v	r	i	d
51	made	with	regard	to	v	i	i	i
51	made	with	the	same	v	i	a	d
51	made	you	think	that	v	p	v	c
51	magazine	.	//	<p>	n	y	x	y
51	magazine	and	author	of	n	c	n	i
51	magazine	online	,	this	n	r	y	d
51	maggie	said	.	"	n	v	y	y
51	magliozzi	brother	2	:	j	n	m	y
51	maid	of	honor	.	n	i	n	y
51	main	street	,	and	n	n	y	c
51	main	street	.	"	n	n	y	y
51	main	street	.	the	n	n	y	a
51	maintenance	of	international	peace	n	i	j	n
51	major	source	of	the	j	n	i	a
51	majorities	in	both	the	n	i	d	a
51	majority	of	cases	.	n	i	n	y
